CD_MATERIAL,CD_NCM
235,96034010
236,39172300
237,44079990
238,39172300
239,39172300
240,69101000
241,69101000
242,83011000
243,69109000
244,69109000
245,69109000
246,83011000
247,83011000
248,83011000
249,83011000
250,69101000
251,69109000
252,83011000
253,69109000
254,83011000
255,69109000
256,83011000
257,73269090
258,69109000
259,76101000
260,73269090
261,76101000
262,73269090
263,76101000
264,76101000
265,73269090
266,73144100
267,84818011
268,73144100
269,84818011
270,64039990
271,72142000
272,72142000
273,64039990
274,72142000
275,64039990
276,64039990
277,64039990
278,64039990
279,64039990
280,64039990
281,64039990
282,72142000
283,64039990
284,64039990
285,64039990
286,64039990
287,64039990
288,64039990
289,64039990
290,64039990
291,64039990
292,64039990
293,64039990
294,64039990
295,94051190
296,94051190
297,72131000
298,72131000
299,69072200
300,69072200
301,40069000
302,84818019
303,39269090
304,84819010
305,84819010
306,84818019
307,84818019
308,39174090
309,39174090
310,39174090
311,39174090
312,39174090
313,39174090
314,39174090
315,84818099
316,85395200
317,94051190
318,94051190
319,94051190
320,94051190
321,94051190
322,94051190
323,94051190
324,94051190
325,94051190
326,94051190
327,94051190
328,94051190
329,94051190
330,94051190
331,94051190
332,94051190
333,94051190
334,94051190
335,94051190
336,94051190
337,94051190
338,94051190
339,39162000
340,76061190
341,39162000
342,76061190
343,72104910
344,72123000
345,72123000
346,72123000
347,39162000
348,84142000
349,39251000
350,39251000
351,68118200
352,68118200
353,72104910
354,68118200
355,68118200
356,68118200
357,39162000
358,68118100
359,39162000
360,68118100
361,68118100
362,44182000
363,44079990
364,83014000
365,83014000
366,69101000
367,69101000
368,69101000
369,69101000
370,83014000
371,69101000
372,83014000
373,84833090
374,83014000
375,44079990
376,83301400
377,44079990
378,44123900
379,83024100
380,73181900
381,44129900
382,44129900
383,44129900
384,39162000
385,44129900
386,83024100
387,44123900
388,39162000
389,83024100
390,83024100
391,32082011
392,25049000
393,27101932
394,83024100
395,39162000
396,83024100
397,83024100
398,39100012
399,39162000
400,32082011
401,83024100
402,39162000
403,32082011
404,32082011
405,39162000
406,39162000
407,83024100
408,32082011
409,39162000
410,32082011
411,39162000
412,83111000
413,32082011
414,39173229
415,32082011
416,32082011
417,32082011
418,83111000
419,39173229
420,32082011
421,32082011
422,32082011
423,32082011
424,32082011
425,39173229
426,39173229
427,32082011
428,27075000
429,32082011
430,32081010
431,32082011
432,39173229
433,32082011
434,32081010
435,32082011
436,39173229
437,39173229
438,32082011
439,38140090
440,39173100
441,32082011
442,32089021
443,39173100
444,32082011
445,32089021
446,32082011
447,39173100
448,39173100
449,32082011
450,32082011
451,39173100
452,32082011
453,32082011
454,32082011
455,39173229
456,32082011
457,32089021
458,32082011
459,27101230
460,39173229
461,32082011
462,32082011
463,27101230
464,39172100
465,39172100
466,32082011
467,39252000
468,38140090
469,32082011
470,38140090
471,32082011
472,39252000
473,32082011
474,38140090
475,32082011
476,32082011
477,39252000
478,32082011
479,32081020
480,39252000
481,32082011
482,32082011
483,32081020
484,32082011
485,39252000
486,38245000
487,39252000
488,32081020
489,39252000
490,73269090
491,73269090
492,39252000
493,73269090
494,73182200
495,39252000
496,73182200
497,73182200
498,32081020
499,73182200
500,39174090
501,32081020
502,73181500
503,73181500
504,73181500
505,73181500
506,32081020
507,73181500
508,73181500
509,73102190
510,32081020
511,32081020
512,39269090
513,73102190
514,39172300
515,32081020
516,39269090
517,39269090
518,39269090
519,32081020
520,73181300
521,39172300
522,32081020
523,73181300
524,39172300
525,73181300
526,39173900
527,73181300
528,73181300
529,73181300
530,73181300
531,73181300
532,73181300
533,73181300
534,39173900
535,73181300
536,73181300
537,73181300
538,39269090
539,39173900
540,73181500
541,73181500
542,73181500
543,39173900
544,73181500
545,73181500
546,39173900
547,73181500
548,39173900
549,32081020
550,32081020
551,39173900
552,39173900
553,32081010
554,39173900
555,39173900
556,73181500
557,73181200
558,32081010
559,39173900
560,32081010
561,39173900
562,68042119
563,39173900
564,68042119
565,39172100
566,82055900
567,39172100
568,73181500
569,39172100
570,73181500
571,39174090
572,73181500
573,27101932
574,39174090
575,73181500
576,73181500
577,73181500
578,73181500
579,73181500
581,73181500
582,73181500
583,73181500
584,73181500
585,73181500
586,73181500
587,73181500
588,73181500
589,73181500
590,82029100
591,73181500
592,73181500
